invoice_date,sales_id,customer,customer_id,region,state,city,product,price_per_unit,units_sold,total_sales,monthly_sales,sales_method,gender
2020-01-01,229,Foot Locker,1185732,Northeast,New York,New York,Men's Street Footwear,47.0,336.0,15792.0,963.0,Online,MALE
2020-01-01,85,Foot Locker,1185732,Northeast,New York,New York,Men's Street Footwear,34.0,384.0,12451.45193,679.0,Outlet,MALE
2020-01-01,9059,Foot Locker,1185732,Northeast,Pennsylvania,Philadelphia,Women's Apparel,75.0,275.0,20625.0,6188.0,Outlet,MALE
2020-01-01,6493,Foot Locker,1185732,Northeast,New York,New York,Men's Street Footwear,50.0,1200.0,60000.0,30000.0,In-store,MALE
2020-01-01,4883,Foot Locker,1185732,Northeast,Pennsylvania,Philadelphia,Women's Apparel,68.0,83.0,12427.332049922163,243.0,Online,MALE
2020-01-01,4823,Foot Locker,1185732,Northeast,Pennsylvania,Philadelphia,Women's Apparel,53.0,83.0,4399.0,141.0,Outlet,MALE
2020-01-02,3533,West Gear,1128299,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,32.0,122.0,3904.0,199.0,Online,MALE
2020-01-02,196,Foot Locker,1185732,Northeast,New York,New York,Men's Athletic Footwear,47.0,260.0,12220.0,513.0,Online,MALE
2020-01-02,2160,West Gear,1128299,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,27.0,158.0,4266.0,179.0,Outlet,MALE
2020-01-02,6551,Foot Locker,1185732,Northeast,New York,New York,Men's Athletic Footwear,50.0,1000.0,50000.0,15000.0,In-store,MALE
2020-01-02,8196,West Gear,1128299,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,35.0,450.0,15750.0,6300.0,Outlet,MALE
2020-01-02,333,Foot Locker,1185732,Northeast,New York,New York,Men's Athletic Footwear,36.0,320.0,12427.332049922163,403.0,Outlet,MALE
2020-01-03,6558,Foot Locker,1185732,Northeast,New York,New York,Women's Street Footwear,40.0,1000.0,40000.0,14000.0,In-store,MALE
2020-01-03,8199,West Gear,1128299,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,45.0,450.0,20250.0,5063.0,Outlet,MALE
2020-01-03,3665,West Gear,1128299,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,44.0,117.0,5148.0,190.0,Online,MALE
2020-01-03,3163,West Gear,1128299,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,35.0,135.0,4725.0,146.0,Outlet,MALE
2020-01-03,707,Foot Locker,1185732,Northeast,New York,New York,Women's Street Footwear,36.0,250.0,9000.0,414.0,Online,MALE
2020-01-03,184,Foot Locker,1185732,Northeast,New York,New York,Women's Street Footwear,32.0,350.0,12427.332049922163,414.0,Outlet,MALE
2020-01-04,2753,West Gear,1128299,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,36.0,140.0,5040.0,237.0,Outlet,MALE
2020-01-04,8200,West Gear,1128299,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,45.0,450.0,20250.0,8100.0,Outlet,MALE
2020-01-04,3667,West Gear,1128299,Northeast,Pennsylvania,Philadelphia,Women's Street Footwear,41.0,117.0,4797.0,259.0,Online,MALE
2020-01-04,560,Foot Locker,1185732,Northeast,New York,New York,Women's Athletic Footwear,36.0,281.0,10116.0,374.0,Outlet,FEMALE
2020-01-04,6669,Foot Locker,1185732,Northeast,New York,New York,Women's Athletic Footwear,45.0,850.0,38250.0,13388.0,In-store,FEMALE
2020-01-04,402,Foot Locker,1185732,Northeast,New York,New York,Women's Athletic Footwear,41.0,247.0,10127.0,466.0,Online,FEMALE
2020-01-05,9283,West Gear,1128299,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,45.0,300.0,13500.0,4725.0,Outlet,FEMALE
2020-01-05,150,Foot Locker,1185732,Northeast,New York,New York,Men's Apparel,43.0,306.0,13158.0,487.0,Outlet,MALE
2020-01-05,737,Foot Locker,1185732,Northeast,New York,New York,Men's Apparel,55.0,234.0,12870.0,515.0,Online,MALE
2020-01-05,6406,Foot Locker,1185732,Northeast,New York,New York,Men's Apparel,60.0,900.0,54000.0,16200.0,In-store,MALE
2020-01-05,4981,West Gear,1128299,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,43.0,87.0,3741.0,187.0,Online,FEMALE
2020-01-05,4620,West Gear,1128299,Northeast,Pennsylvania,Philadelphia,Women's Athletic Footwear,34.0,90.0,3060.0,125.0,Outlet,FEMALE
2020-01-06,199,Foot Locker,1185732,Northeast,New York,New York,Women's Apparel,46.0,260.0,11960.0,443.0,Online,MALE
2020-01-06,5169,West Gear,1128299,West,Nevada,Las Vegas,Men's Apparel,37.0,80.0,2960.0,169.0,Outlet,MALE
